time,load1,load2,load3,load4
43200,15000.0,3000.000000000001,1000.0,8949.747468305834
44100,14978.589232386035,2476.774966158857,1000.0,8615.420705700482
45000,14914.448613738103,1955.7904622395858,1000.0,8261.330003061043
45900,14807.852804032305,1439.2774238709728,1000.0,7888.991631137214
46800,14659.258262890686,1000.0,1000.0,7500.000000000002
47700,14469.301294951058,1000.0,1000.0,7096.020831533009
48600,14238.795325112867,1000.0,1000.0,6678.78402655563
49500,13968.727415326883,1000.0,1000.0,6250.076257122133
50400,13660.254037844385,1000.0,1000.0,5811.7333157176445
51300,13314.696123025455,1000.0,1000.0,5365.6322541129
52200,12933.533402912355,1000.0,1000.0,4913.683345540364
53100,12518.398074789775,1000.0,1000.0,4457.821904611002
54000,12071.067811865476,1000.0,1000.0,4000.000000000001
54900,11593.45815100069,1000.0,1000.0,3542.1780953889997
55800,11087.614290087207,1000.0,1000.0,3086.3166544596406
56700,10555.702330196022,1000.0,1000.0,2634.3677458871016
57600,10000.000000000004,1000.0,1000.0,2188.2666842823573
58500,9422.886902190014,1000.0,1000.0,1749.9237428778688
59400,8826.834323650903,1000.0,1000.0,1500.0
60300,8214.394653031617,1000.0,1000.0,1500.0
61200,7588.190451025206,1000.0,1000.0,1500.0
62100,6950.903220161286,1000.0,1000.0,1500.0
63000,6305.261922200516,1000.0,1000.0,1500.0
63900,5654.031292301426,1000.0,1000.0,1500.0
64800,5000.000000000001,1000.0,1000.0,1500.0
65700,4345.968707698576,1000.0,1000.0,1500.0
66600,3694.7380777994867,1000.0,1000.0,1500.0
67500,3049.0967798387164,1000.0,1000.0,1500.0
68400,2411.809548974796,1000.0,1000.0,1500.0
69300,2000.0,1000.0,1000.0,1500.0
70200,2000.0,1000.0,1216.84284667969,1500.0
71100,2000.0,1000.0,1607.5812246191379,1500.0
72000,2000.0,1000.0,1999.9999999999986,1500.0
72900,2000.0,1000.0,2392.4187753808537,1500.0
73800,2000.0,1000.0,2783.1571533203073,1500.0
74700,2000.0,1000.0,3170.5419320967694,1500.0
75600,2000.0,1000.0,3552.9142706151215,1500.0
76500,2000.0,1000.0,3928.636791818964,1500.0
77400,2000.0,1000.0,4296.100594190535,1500.0
78300,2000.0,1000.0,4653.732141314005,1500.0
79200,2000.0,1000.0,4999.999999999995,1500.0
80100,2000.0,1000.0,5333.421398117611,1500.0
81000,2000.0,1000.0,5652.568574052319,1500.0
81900,2000.0,1000.0,5956.07489060041,1500.0
82800,2000.0,1000.0,6242.640687119284,1500.0
83700,2000.0,1439.27742387097,6511.038844873861,1500.0
84600,2000.0,1955.7904622395865,6760.12004174741,1500.0
85500,2000.0,2476.7749661588578,6988.8176738152715,1500.0
86400,2000.0,2999.999999999998,7196.152422706629,1500.0
